titulo,caracteristicas,precio_numerico,precio_por_m2,categoria_precio,metros_cuadrados,categoria_tamano,ambientes,dormitorios,banos,cocheras,barrio,ciudad,descripcion
maipu 10,50 m² tot. 3 amb. 1 dorm. 5 baños,390000,7800.0,Económico,50.0,Mediano,3,1,5.0,,Centro,Córdoba,"Venezia y Asociados - Gestión Inmobiliaria te ofrece un hermoso departamento en Alquiler, con una excelente ubicacion, en el centro de la ciudad de Cordoba, Muy cerca de Ciudad universitaria!! Ubicado sobre Avenida Maipu, por donde pasan muchas lineas de colectivos, muy cerca de la terminal de omnibus. - El departamento cuenta con, living comedor, amplio y muy luminoso y aire acondicionado Instalado! Cocina Separada con muebles completos, gran lugar de guardado, alacenas y bajomesada. - Habitacion con placard y baño completo. -"
Parana 635,65 m² tot. 3 amb. 1 dorm. 1 baño,650000,10000.0,Medio,65.0,Mediano,3,1,1.0,,Nueva Córdoba,Córdoba,"Boden presenta. Ubicacion: Parana 635, entre san Lorenzo y obispo oro. Piso: 5to. Caracteristicas: - Living comedor. - Cocina separada con bajo mesada y alacenas. - Baño completo. - Dormitorio con placard e interiores. - escritorio. * Contrato por 2 años con incremento trimestral por ipc. ** Garantias, recibos de sueldo superiores a 900M."
Lima al 1600,45 m² tot. 2 amb. 1 dorm. 1 baño,450000,10000.0,Económico,45.0,Pequeño,2,1,1.0,,General Paz,Córdoba,"Departamento en alquiler de un dormitorio en Barrio General Paz Ubicación: Barrio General PazCaracterísticas: Un dormitorio, luminoso, ideal para una persona o pareja. Contrafrente, garantizando tranquilidad y menos ruido. Asador propio. Luminoso: con excelente iluminación natural. Amenities: Pileta para disfrutar en los días de calor. sum (Salón de Usos Múltiples) para eventos o reuniones. Ideal para quienes buscan un lugar cómodo, moderno y con buena ubicación. Tel. Ver datos Ver datos / Ver datos Ver datosMaipú 51 - 6º Piso - Of 04"
Bv. Illia 362 - 1° A - 1 Dormitorio,45 m² tot. 2 amb. 1 dorm. 1 baño,600000,13333.333333333334,Medio,45.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"Neta alquila Departamento en un 1° piso, el cual tiene 1 dormitorio con balcon al frente, amplio, luminoso, en una zona donde lo tenes todo al alcance de tu manoEdifico nazareno cite xi, muy moderno, con muy buenas terminacionesCaracteristicasCocina integrada, totalmente equipadaLiving comerdor amplio con A/abaño completo con bañera Dormitorio con placar con interiores y cortina Balcón amplio con salida desde el dormitorio y desde el living comedor Frente Externo Orientación NorteSuper Luminoso alquiler: $600. 000expensas: $110. 000Consultanos para coordinar una visita Excelente oportunidadneta servicios inmobiliarios"
SAN JERONIMO 351,73 m² tot. 4 amb. 2 dorm. 1 baño,520000,7123.287671232877,Medio,73.0,Mediano,4,2,1.0,,Centro,Córdoba,"Departamento en alquiler: san jeronimo 351 - centro - se ubica en la zona de city, casco historiode la ciudad de cordoba, A dos cuadras de catedral cabildo plaza central. *no admite mascota* dos dormitorios con placares. cocina separada (bajo mesada y alacena, conexion de lavarropas) baño completo. living comedor. dos balcones. requicitos: se puede alquilar con garantias de recibos - propiedades Y posibles combinaciones. alquieler: $ 480. 000. expensas: $ 44. 500. consulte. disponible"
Poeta Lugones 30,60 m² tot. 3 amb. 2 dorm. 1 baño,600000,10000.0,Medio,60.0,Mediano,3,2,1.0,,Nueva Córdoba,Córdoba,"En esta oportunidad platinus Bienes Raíces te ofrece: Ubicado en piso 11 disposición contra frente, este departamento se encuentra sobre Poeta Lugones 50, en barrio Nueva Córdoba. Expensas aproximadas de $70. 000 + Impuestos y ServiciosOfrece un cómodo y funcional diseño: • Living comedor con salida al balcón • Hermosa vista y luz diaria • Cocina integrada • Dos dormitorios • Baño"
Raul Brogin 4451,80 m² tot. 2 amb. 2 dorm. 1 baño,1000000,12500.0,Alto,80.0,Grande,2,2,1.0,,Manantiales,Córdoba,"Ofrecemos en alquiler un hermoso departamento en Manantiales, ubicado en el Barrio Pilares de Manantiales. Cuenta con cocina separada con alacena y bajo mesadas completa, conexión para lavarropas y ventilación propia. Living comedor con salida a balcon terraza con asador. Dos dormitorios amplios con placares. Un baño completo con sanitarios, accesorios, mueble vanitory, espejo y banera. Se calefacciona con Caldera Dual con radiadores instalados en todos los ambientes. Moderno con excelente iluminación natural. Pisos de porcelanato. El edificio no cuenta con cocheras, hay frente al complejo cocheras de cortesía al aire libre para estacionar. no se entrega amoblado. Expensas $234. 000 (Incluye municipalidad, rentas y aguas) Precios sujetos a variación"
Av Velez Sarsfield y Manuel Baigorria,117 m² tot. 4 amb. 2 dorm. 2 baños 1 coch.,850000,7264.957264957265,Alto,117.0,Grande,4,2,2.0,1.0,Colinas de Vélez Sársfield,Córdoba,"Casonas del Sur ii se encuentra pasando el puente de Av. Vélez Sarsfield, a 1' del Hospital Privado y a 10' del centro de la ciudad. Condominio Privado Residencial con Seguridad y amenities de categoría, Jardín parquizado, 2 sum con asadores y baños, Las piscinas están con cerco de seguridad para que grandes y chicos puedan disfrutar este agradable entorno. Departamento de Categoría con vistas al Jardín y Piscinas. Ingreso a Living Comedor, con salida al Balcón aterrazado con asador. Cocina y lavadero con alacenas y bajo mesadas, Caldera dual. 1 Baño Completo, 2 Dormitorios, 1 en suite con baño completo. Otras Características: Calefacción por radiadores. Las ventanas tienen persianas. Las aberturas son dvh. Carpintería interior de madera. Los baños tienen bañadera. Balcón aterrazado con asador. La Cochera de este Departamento se encuentra en el nivel 0 al frente del mismo y es semicubierta. requisitos para el alquiler: -Alquiler Mensual: $850. 000. -Contrato 24 meses. -Deposito en Garantía: 1 mes de alquiler. -Inquilino y 2 Garantes con ingresos mensuales > $2. 000. 000. -Expensas Mensuales a cargo del Inquilino (por ahora las expensas incluyen impuesto inmob. Y Aguas) -Cuando los impuestos inmob. No formen parte de las expensas y estén por separado, serán a cargo del Inquilino. -Actualización alquiler Cada 4 meses con el índice de precios al consumidor (ipc) -Comision Inmobiliaria 5% del total del contrato. Gastos: Informes: Firmas"
Av. Patria al 1000,60 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.,400000,6666.666666666667,Económico,60.0,Mediano,2,1,1.0,1.0,General Paz,Córdoba,"Jose Barrionuevo - bienes raíces- ofrece en alquiler: Departamento de diseño de 1 dormitorio amplio, muy luminoso ubicado en el piso 4 del Edificio Kevork en B° General Paz, departamento de primera calidad, ubicado en un complejo de una torre, con cochera disponible en el mismo predio, Un edificio de calidad superior y líneas contemporáneas. Excelente ubicación a pocos minutos del centro, zona valorizada por su vida barrial y cultural, con un destacado sector gastronómico y nocturno. El mismo posee: + Piso de porcelanato, pulido brillante y antimanchas de primera calidad+ Carpintería de aluminio + Muros terminados en yeso + Previsiones de instalaciones para tv, cable, teléfono y aire acondicionado+ Caldera dual+ Radiadores+ Cocina integrada con muebles bajo mesada y alacena+ Living comedor luminoso y espacioso. + 1 dormitorio con placard empotrado con guías de aluminio e interiores de placard con cajonera+ 1 baño completo con extractor. El edificio posee: + Cocheras en planta baja. +Terraza con vista a las sierras. + 2 Asadores con mobiliario disponible para uso. -Cochera Opcional- -no se permite mascotas-Se solicita al inquilino, demostración de ingresos. Garantías: 3 recibos de sueldo superiores a $1. 200. 000Se ofrece contrato por 24 mesesalquiler $400. 000expensas $61. 000honorarios $480. 000 escuchamos tu propuesta! No dejes de llamarnos! &quot;josé barrionuevo bienes raices. &quot; - Matrícula cpi-6083 -"
transito caceres de allende 430,90 m² tot. 2 amb. 2 dorm. 2 baños,1050000,11666.666666666666,Alto,90.0,Grande,2,2,2.0,,Nueva Córdoba,Córdoba,"Surban Negocios Inmobiliarios alquila. Increible departamento de dos dormitorios ubicado en Transito Cáceres de Allende 430, entre las calles Rondeau y Bv Illia, a media cuadra de la Terminal de Córdoba, a una cuadra del Parque Sarmiento, excelente ubicación en pleno corazón de Nueva Córdoba. El mismo cuenta: -Living comedor. -Cocina integrada con barra desayunadora. -Dos baños completos con ducha y accesorios completos. -Dos habitaciones con placard e interiores. -Dos balcones. -Caldera central con radiadores en todos sus ambientes. -Ubicado en un tercer piso contrafrente. -Edificio con seguridad, pileta y sum con asador. Alquiler $1. 050. 000. Expensas a determinar. Cualquier consulta no dude en comunicarse con nosotros!"
