titulo,precio,descripcion,ubicacion
"50 m² tot.
2 amb.
1 dorm.
1 baño",$ 550.000,"Rue negocios inmobiliarios alquila departamento de 1 dormitorio en barrio Gral Paz, con balcón y terraza, y cocina separada El depto consta de living-comedor al ingreso, que conecta con la terraza y balcón, vista al frente y la cocina separada. Luego se accede al baño completo y dormitorio con Placard Edificio muy bien ubicado en Gral Paz y en buen estado de mantenimiento. El edificio cuenta con quincho con asador y terraza de uso común. ¿Qué esperás para ir a conocerlo? Escribinos y coordinamos una visitaPor muestras: Ezequiel Ruiz Ver datos","General Paz, Córdoba"
"45 m² tot.
5 amb.
1 dorm.
1 baño",$ 540.000,"Cabalen propiedades ofrece en alquiler departamento ubicado en el corazón de barrio general paz sobre la calle Félix Frías, con avenidas cercanas, clínicas, supermercados, plazas, cuenta con las siguientes características: - 1 Dormitorio completo con placard- Ante baño- Baño completo- Living comedor con aire acondicionado- Cocina equipada e integrada tipo americana- Pileta","General Paz, Córdoba"
"60 m² tot.
2 amb.
1 dorm.
1 baño
1 coch.",$ 400.000,"Jose Barrionuevo - bienes raíces- ofrece en alquiler: Departamento de diseño de 1 dormitorio amplio, muy luminoso ubicado en el piso 4 del Edificio Kevork en B° General Paz, departamento de primera calidad, ubicado en un complejo de una torre, con cochera disponible en el mismo predio, Un edificio de calidad superior y líneas contemporáneas. Excelente ubicación a pocos minutos del centro, zona valorizada por su vida barrial y cultural, con un destacado sector gastronómico y nocturno. El mismo posee: + Piso de porcelanato, pulido brillante y antimanchas de primera calidad+ Carpintería de aluminio + Muros terminados en yeso + Previsiones de instalaciones para tv, cable, teléfono y aire acondicionado+ Caldera dual+ Radiadores+ Cocina integrada con muebles bajo mesada y alacena+ Living comedor luminoso y espacioso. + 1 dormitorio con placard empotrado con guías de aluminio e interiores de placard con cajonera+ 1 baño completo con extractor. El edificio posee: + Cocheras en planta baja. +Terraza con vista a las sierras. + 2 Asadores con mobiliario disponible para uso. -Cochera Opcional- -no se permite mascotas-Se solicita al inquilino, demostración de ingresos. Garantías: 3 recibos de sueldo superiores a $1. 200. 000Se ofrece contrato por 24 mesesalquiler $400. 000expensas $61. 000honorarios $480. 000 escuchamos tu propuesta! No dejes de llamarnos! &quot;josé barrionuevo bienes raices. &quot; - Matrícula cpi-6083 -","General Paz, Córdoba"
"81 m² tot.
5 amb.
2 dorm.
1 baño
1 coch.",$ 950.000,"Catiñeira Salguero ofrece en alquiler departamento A estrenar de 2 Dormitorios, con excelente ubicación en Nueva Córdoba. El mismo cuenta con las siguientes características: - 2 Dormitorios luminosos con Placard- Cocina separada con conexión para lavarropas- Living comedor Amplio y Luminoso- Balcón- Baño completo- Pisos de porcelanato- Bajo mesada- posibilidad de alquilar con cochera (consultar precio) contrato A dos años. Ajuste cuatrimestral por ipcimpuestos A cargo inquilinose entrega con ctt para pedir medidor de gas","Nueva Córdoba, Córdoba"
"114 m² tot.
3 amb.
2 dorm.
2 baños",$ 1.400.000,"Departamento en alquiler en la rosella villa, valle escondido T iii Descripción del dpto: -Planta baja-Lavadero separado-Balcón con asador-Cocina con muebles de mesada, bajo mesada y alacena-Living-comedor-Dos dormitorios (uno en suite con vestidor) -Dos baños-1 Toillete de visitaDetalles de categoría: -Pisos de porcelanato-Aberturas de aluminio A30-Muebles de cocina en diseño italiano, con mesada en piedra negro brasil leather-Ambientes amplios y luminosos-Superficie propia: 114, 58-Superficie común: 26. 65-Superficie total: 146, 34El complejo: -Condominio exclusivo en el corazón de Valle Escondido-Seguridad las 24hs-Amenities: Piscina con solárium y equipamiento para exterior, club house con espacio de cocina gourmet-A solo unos pasos de acaece, paseo comercial y gastronómico.","Valle Escondido , Córdoba"
"70 m² tot.
4 amb.
2 dorm.
1 baño",$ 550.000,Corro N 557. Planta alta. Living comedor. Cocina separada. Un baño completo. Dos dormitorios. Terraza,"Güemes, Córdoba"
"45 m² tot.
3 amb.
1 dorm.
1 baño",$ 650.000,"Neta alquiladepartamento de 1 dormitorio con uno de los mejores balcones, en la calle Chacabuco al 1068, en un 5º piso a media cuadra de Plaza España y pleno Nueva Cordoba! Edificio Alto Chacabuco - Nueva Cordoba Muy cómodo y luminoso! Características: -Living comedor amplio, el cual consta con A/A y calefactor -Cocina semi - integrada con muebles de guardado varios y barra desayunadora -Baño completo con bañera-Dormitorio amplio con placar completo y salida al balcón -Balcón frente con vista despejada super amplio -Se caracteriza por ser muy luminosoalquiler: $650. 000 mas expensasexcelente oportunidadContactanos para coordinar una visitaneta servicios inmobiliarios","Nueva Córdoba, Córdoba"
"45 m² tot.
2 amb.
1 dorm.
1 baño",$ 430.000,"Te invitamos a conocer: En barrio Nueva Cordoba, sobre calle Ambrosio Olmos al 900, departamento de 1 dormitorio en alquiler. Características destacables: 1 DormitorioCocina completaMuebele de bajo mesadaExtractor y calefonEspacio para heladera y lavarropasPiso de parquetLiving comedorBaño completo. Balcón con vista a la calle. Ubicación ideal. Ubicado en calle Ambrosio Olmos al 900 en el barrio Nueva Córdoba, en las cercanías de Plaza España, Museo Superior de Bellas Artes, Patio Olmos, Parque de las Tejas, y Ciudad Universitaria, que cuenta con las siguientes universidades: unc, utn, Facultad de odontología, agropecuaria y de lengua, sigo xxi, ucc. Imagina vivir en una ubicación estratégica, donde todo lo que necesitas está a tu alcance. Comercios, Escuelas, sanatorios, Cines y Parques, todo a pocos minutos de tu hogar. Un lugar ideal para disfrutar de la comodidad y conveniencia que te mereces. ¡Aquí encontrarás lo que buscas, sin tener que renunciar a nada! La información detallada es exclusiva de taiana propiedades y es susceptible a modificación sin previo aviso. Todas las medidas enunciadas son meramente orientativas, las medidas exactas serán las que se expresen en el respectivo título de propiedad de cada inmueble. Todas las fotos, imágenes y videos son meramente ilustrativos, referenciales y no contractuales. Los precios enunciados son meramente orientativos y están sujetos a modificación sin previo aviso, como así también su disponibilidad. -","Nueva Córdoba, Córdoba"
"5000 m² tot.
5 amb.
2 dorm.
1 baño
1 coch.",$ 1.200.000,"Casonas del norte - departamento en alquiler de. 2 dormitorios. 1 cochera. 2 piso con vistas al río. - Servicios comunes: amplios espacios verdes, quincho, pileta, sum, Gimnasio. - seguridad 24 hs. con o sin muebles!! 2 dormitorios con placard. 1 baño completo grande. Living comedor. Balcon con asador. Cocina separada","Las Rosas, Córdoba"
"80 m² tot.
2 amb.
2 dorm.
1 baño",$ 1.000.000,"Ofrecemos en alquiler un hermoso departamento en Manantiales, ubicado en el Barrio Pilares de Manantiales. Cuenta con cocina separada con alacena y bajo mesadas completa, conexión para lavarropas y ventilación propia. Living comedor con salida a balcon terraza con asador. Dos dormitorios amplios con placares. Un baño completo con sanitarios, accesorios, mueble vanitory, espejo y banera. Se calefacciona con Caldera Dual con radiadores instalados en todos los ambientes. Moderno con excelente iluminación natural. Pisos de porcelanato. El edificio no cuenta con cocheras, hay frente al complejo cocheras de cortesía al aire libre para estacionar. no se entrega amoblado. Expensas $234. 000 (Incluye municipalidad, rentas y aguas) Precios sujetos a variación","Manantiales, Córdoba"
